a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Marta Senger,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Willy Thurm,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Walter Tiemann,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Rudolf Treuter,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Eugen Urban,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Wolfgang Müller,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Gustav Wustmann,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Wolfgang Zeller,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Clara Zschille,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Alexander Ananias Baranowsky,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Fritz Bleyl,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Otto Richard Bossert,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Johanna von Erdmannsdorf,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Georg Erler,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Katharina Franck,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Gertrud Geißler-Haserick,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Otto Gerlach,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Carl Haeser,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Clementine Hahn,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Max Heiland,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Friedrich Heyser,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Anton Klamroth,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Maria Klette,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Louise Langgaard,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Ernst Lenk,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Adolf Noether,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Hedwig Rumpelt,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Gertrud Schäfer,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Emil Schilde,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Carl Schmidt,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Karl Gottlob Schönherr,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
F. Walter Scholtz,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Bertha Schrader,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Bernhard Schröter,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Johanna Schumann,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Georg Schwenk,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Otto Friedrich Wilhelm Sebaldt,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Karl Hanns Taeger,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Franz Trautsch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Johannes Paul Ufer,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Otto Georg Voigt,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Emil Voigtländer-Tetzner,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Walther Witting,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Max Herfurt,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Oskar Menzel,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Friedrich Wilhelm Hertzsch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
George Heinsius von Mayenburg,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Martin Pietzsch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Felix Reinhard Voretzsch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Richard Levy,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
