name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Adolf Hölzel,1853,1934,M,DE,Olomouc,Stuttgart
Karl Hofer,1878,1955,M,DE,Karlsruhe,Berlin
Edward Hopper,1882,1967,M,US,Nyack,New York
Max Horb,1882,1907,M,CZ,Mladá Boleslav,Prague
Hermann Huber,1888,1967,M,CH,Zurich,Hirzel
James Dickson Innes,1887,1914,M,GB,Llanelli,Swanley
Isaac Israëls,1865,1934,M,NL,Amsterdam,"Hague, The"
Richard Janthur,1883,1956,M,DE,Zerbst,Berlin
Alexei Jawlensky,1864,1941,M,RU,Torzhok,Wiesbaden
Augustus John,1878,1961,M,GB,Tenby,Fordingbridge
Gwen John,1876,1939,F,GB,Haverfordwest,Dieppe
Einar Jolin,1890,1976,M,SE,Stockholm,Stockholm
Ernst Josephson,1851,1906,M,SE,Stockholm,Stockholm
Alexander Kanoldt,1881,1939,M,DE,Karlsruhe,Berlin
Arne Kavli,1878,1970,M,NO,"Bergen, North Holland",Christiania (Oslo)
Károly Kernstok,1873,1940,M,HU,Budapest,Budapest
Fernand Khnopff,1858,1921,M,BE,Dendermonde,Brussels
Ernst Ludwig Kirchner,1880,1938,M,DE,Aschaffenburg,Frauenkirch
Moïse Kisling,1891,1953,M,FR,Cracow,Sanary-sur-Mer
Paul Klee,1879,1940,M,CH,Münchenbuchsee,Muralto
Cesar Klein,1876,1954,M,DE,Hamburg,Pansdorf
Gustav Klimt,1862,1918,M,AT,Vienna,Vienna
Max Klinger,1857,1920,M,DE,Leipzig,Großjena
Moissey Kogan,1879,1943,M,RU,Orhei,Auschwitz
Oskar Kokoschka,1886,1980,M,AT,Pöchlarn,Montreux
Georg Kolbe,1877,1947,M,DE,Waldheim,Berlin
Käthe Kollwitz,1867,1945,F,DE,Königsberg,Moritzburg
Pyotr Konchalovsky,1876,1956,M,RU,Slavyansk,Moscow
Nikolay Krymov,1884,1958,M,RU,Moscow,Moscow
Per Krohg,1889,1965,M,NO,Åsgårdstrand,Christiania (Oslo)
Alfred Kubin,1877,1959,M,AT,Litoměřice,Wernstein am Inn
Othone Coubine,1883,1969,M,CZ,Boskovice,Marseilles
Bohumil Kubišta,1884,1918,M,CZ,Vlčkovice,Prague
Walt Kuhn,1880,1949,M,US,New York,New York
Reinhold Kündig,1888,1984,M,CH,Uster,Thalwil
František Kupka,1871,1957,M,CZ,Opočno,Puteaux
Aleksandr Kuprin,1880,1960,M,RU,Borisoglebsk,Moscow
Pavel Kuznetsov,1878,1968,M,RU,Saratov,Moscow
Eugène Laermans,1864,1940,M,BE,Brussels,Brussels
Roger de La Fresnaye,1885,1925,M,FR,Le Mans,Grasse
Henry Lamb,1883,1960,M,GB,Adelaide,London
Pierre Laprade,1875,1931,M,FR,Narbonne,Fontenay-aux-Roses
Mikhail Larionov,1881,1964,M,RU,Tiraspol,Fontenay-aux-Roses
Marie Laurencin,1885,1956,F,FR,Paris,Paris
Ernest Lawson,1873,1939,M,US,Halifax,Miami Beach
Henri Victor Gabriel Le Fauconnier,1881,1946,M,FR,Hesdin,Paris
Fernand Léger,1881,1955,M,FR,Argentan,Gif-sur-Yvette
Wilhelm Lehmbruck,1881,1919,M,DE,Duisburg,Berlin
Wilhelm Leibl,1844,1900,M,DE,Cologne,Würzburg
Georges Lemmen,1865,1916,M,BE,Brussels,Brussels
Jean Julien Lemordant,1878,1968,M,FR,Saint-Malo,Paris
Aristarkh Lentulov,1882,1943,M,RU,Nizhny Lomov,Moscow
Wyndham Lewis,1882,1957,M,GB,Amherst,London
André Lhote,1885,1962,M,FR,Bordeaux,Paris
Max Liebermann,1847,1935,M,DE,Berlin,Berlin
Bertold Löffler,1874,1960,M,AT,Liberec,Vienna
Georgy Lukomsky,1884,1952,M,RU,Kaluga,Nice
George Benjamin Luks,1867,1933,M,US,Williamsport,New York
Henrik Louis Lund,1879,1935,M,NO,Bergen,Christiania (Oslo)
Oscar Lüthy,1882,1945,M,CH,Bern,Zurich
Stanton Macdonald-Wright,1890,1973,M,US,Charlottesville,Pacific Palisades
August Macke,1887,1914,M,DE,Meschede,Perthes-lès-Hurlus
Helmuth Macke,1891,1936,M,DE,Krefeld,Hemmenhofen
Aristide Maillol,1861,1944,M,FR,Banyuls-sur-Mer,Perpignan
Henri Charles Manguin,1874,1949,M,FR,Paris,Saint-Tropez
\N Manolo,1872,1945,M,ES,Barcelona,Caldas de Montbuy
Franz Marc,1880,1916,M,DE,Munich,Verdun-sur-Garonne
Jean Marchand,1882,1941,M,FR,Paris,Paris
Louis Marcoussis,1883,1941,M,FR,Warsaw,Cusset
Ödön Márffy,1878,1959,M,HU,Budapest,Budapest
John Marin,1872,1953,M,US,Rutherford,"Addison, Maine"
Albert Marquet,1875,1947,M,FR,Bordeaux,Paris
Alberto Martini,1876,1954,M,IT,Oderzo,Milan
