name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Lajos Pravotinszky,1880,1932,M,HU,Budapest,Budapest
Richard Albitz,1876,1954,M,DE,Berlin,Berlin
Samu Börtsök,1881,1931,M,HU,Tápiószele,Budapest
Elemér Horvát Handel,1881,1911,M,HU,Budapest,Budapest
Otto Greiner,1869,1916,M,DE,Leipzig,Munich
Reinhold Grohmann,1877,1915,M,DE,Berlin,Berlin
Otto Gussmann,1869,1926,M,DE,Wachbach,Dresden
Hermann Keuth,1888,1974,M,DE,Ravensburg,Baden-Baden
Erich Kux,1882,1977,M,DE,Quedlinburg,Lentföhrden
Hans Lindloff,1878,1960,M,DE,Berlin,Berlin
Johannes Lippmann,1858,1935,M,DE,Offenbach am Main,Darmstadt
Kristian Haug,1862,1953,M,NO,Åsnes,Christiania (Oslo)
Helene Vosgraff,1853,1935,F,NO,Christiania (Oslo),Bærum
Nándor Honti,1878,1961,M,HU,Budapest,New York
Károly Réthy,1884,1921,M,HU,Grabovo,Baia Mare
Irma Seidler,1882,1911,F,HU,Užgorod,Budapest
Nikolaus Schmid-Dietenheim,1878,1915,M,DE,Dietenheim,France
Bruno Paul,1874,1968,M,DE,Seifhennersdorf,Berlin
Curt Steinberg,1880,1960,M,DE,Koblenz,Hanover
Dugald Sutherland MacColl,1859,1948,M,GB,Glasgow,London
Francis Edward James,1849,1920,M,GB,Willingdon,Great Torrington
Ernest Albert Waterlow,1850,1919,M,GB,London,London
John Ruskin,1819,1900,M,GB,London,Brantwood
Alfred William Parsons,1847,1920,M,GB,Beckington,Broadway
Laurence Housman,1865,1959,M,GB,Bromsgrove,Glastonbury
Harrison William Weir,1824,1906,M,GB,Lewes,Devon
John Tenniel,1820,1914,M,GB,London,London
G. Grenville Manton,1855,1932,M,GB,London,Bushey
Christof Drexel,1886,1979,M,DE,Königstein im Taunus,Munich
Oswald A. Erich,1883,1946,M,DE,Berlin,Potsdam
Erich Klossowski,1875,1949,M,DE,Ragnitz,Berlin
Wolf Röhricht,1886,1953,M,DE,Liegnitz,Munich
Robert Friedrich Karl Scholtz,1877,1956,M,DE,Dresden,Berlin
Lesser Ury,1861,1931,M,DE,Mie̜dzychód,Berlin
Fritz Schider,1846,1907,M,AT,Salzburg,Basel
Frederick Sandys,1829,1904,M,GB,Norwich,London
James Dromgole Linton,1840,1916,M,GB,London,London
Helen Paterson Allingham,1848,1926,F,GB,Burton on Trent,Haslemere
John Fulleylove,1845,1908,M,GB,Leicester,Hampstead
Christian Maximilian Baer,1853,1911,M,DE,Nuremberg,Munich
Christoffel Bisschop,1828,1904,M,NL,Leeuwarden,Scheveningen
Lucien Blumer,1871,1947,M,FR,Strasbourg,Strasbourg
Gertrud Bürgers-Laurenz,1874,1936,F,DE,Hanover,Dachau
David Young Cameron,1865,1945,M,GB,Glasgow,Perth
Wilhelm Frey,1826,1911,M,DE,Karlsruhe,Mannheim
Franziska von Geiger-Weishaupt,1862,1931,F,DE,Edenbergen,Munich
Maurice Greiffenhagen,1862,1931,M,GB,London,London
Hugo Gugg,1878,1956,M,DE,Leipzig,Weimar
Nikolaus Gysis,1842,1901,M,GR,Tínos,Munich
Willy Hamacher,1865,1909,M,DE,Breslau,Duszniki Zdroj
Hanns Hanner,1883,1966,M,DE,Sankt Goar,Dresden
Erna Hoppe Kinross,1878,1964,F,DE,Hamburg,Sussex
Franz Horadam,1846,1925,M,DE,Bamberg,Munich
Max Hünten,1869,1936,M,DE,Dusseldorf,Zingst
Hermann Junker,1867,1928,M,DE,Frankfurt am Main,Berlin
Carl Kayser-Eichberg,1873,1964,M,DE,Dabrowica,Potsdam
Ferdinand Keller,1842,1922,M,DE,Karlsruhe,Baden-Baden
William Callow,1812,1908,M,GB,Greenwich,Great Missenden
James Orrock,1829,1913,M,GB,Edinburgh,London
Edmund Morison Wimperis,1835,1900,M,GB,Chester,London
William Hatherell,1855,1928,M,GB,Westbury on Trym,London
George Washington Lambert,1873,1930,M,AU,Saint Petersburg,Cobbitty
Albert Lang,1847,1933,M,DE,Munich,Munich
Carl Hermann Lasch,1861,1926,M,DE,Dusseldorf,Dusseldorf
Sophie Ley,1849,1918,F,DE,Bodman-Ludwigshafen,Karlsruhe
Helene von der Leyen,1875,1950,F,DE,Hamburg,Munich
Max Lieber,1851,1918,M,DE,Kołobrzeg,Karlsruhe
Alexander Liebmann,1871,1938,M,DE,Berlin,Munich
Simeon Solomon,1840,1905,M,GB,London,London
Karl O'Lynch Von Town,1869,1942,M,AT,Ljubljana,Genoa
Harrington Mann,1864,1937,M,GB,Glasgow,New York
Roland Maser,1868,1926,M,DE,Brzeg,Karlsruhe
Edwin Austin Abbey,1852,1911,M,US,Philadelphia,London
Arthur Melville,1858,1904,M,GB,Loanhead-of-Guthrie,Witley
Claus Meyer,1856,1919,M,DE,Hannover-Linden,Dusseldorf
James Wilson Morrice,1865,1924,M,CA,Montreal,Tunis
Wilhelm Nagel,1866,1945,M,DE,Mannheim,Baden-Baden
Robert Poetzelberger,1856,1930,M,AT,Vienna,Reichenau
Otto Propheter,1875,1927,M,DE,Mannheim,Karlsruhe
Fritz Rabending,1862,1929,M,AT,Vienna,Munich
Caspar Ritter,1861,1923,M,DE,Esslingen,Ermatingen
Richard Riemerschmid,1868,1957,M,DE,Munich,Munich
Ernst Sigmund von Sallwürk,1874,1944,M,DE,Baden-Baden,Halle
Julius Schold,1881,1962,M,DE,Hamburg,Karlsruhe
Hans Schroedter,1872,1957,M,DE,Karlsruhe,Hüfingen
Helen Marie Stromeyer,1834,1924,F,DE,Hanover,Karlsruhe
Arthur Haythorne Studd,1863,1919,M,GB,Leicester,London
Edmund Joseph Sullivan,1869,1933,M,GB,London,London
Max Volkhart,1848,1935,M,DE,Dusseldorf,Dusseldorf
Wilhelm Volz,1855,1901,M,DE,Karlsruhe,Munich
Karl Walter,1868,1949,M,DE,Karlsruhe,Karlsruhe
Robert Weise,1870,1923,M,DE,Stuttgart,Karlsruhe
Berta Welte,1872,1931,M,DE,Karlsruhe,Karlsruhe
Karl Wendel,1878,1946,M,DE,Berlin,Berlin
Vettore Zanetti-Zilla,1864,1946,M,IT,Venice,Milan
James Havard Thomas,1854,1921,M,GB,Bristol,London
James Charles,1851,1906,M,GB,Warrington,Wales
David Muirhead,1867,1930,M,GB,Edinburgh,London
Alfred Hugh Fisher,1867,1945,M,GB,London,London
Dermod O'Brien,1865,1945,M,IE,Foynes,Limerick
Betty Maud Christian Fagan,1875,1932,F,GB,Devizes,London
Alfred H. R. Thornton,1863,1939,M,GB,Delhi,Painswick
Mark Fisher,1841,1923,M,GB,Boston,London
Ronald Gray,1868,1951,M,GB,London,London
Albert Engström,1869,1940,M,SE,Lönneberga,Stockholm
Maxwell Armfield,1881,1972,M,GB,Ringwood,Warminster
Charles Lambert Colijn Thomson,1873,1926,M,GB,Thames Ditton,Dorking
Jane Emmet De Glehn,1873,1961,F,US,"New Rochelle, New York",New York
F. H. S. Shepherd,1877,1948,M,GB,Stoke-sub-Hamdon,London
Noel Rooke,1881,1953,M,GB,London,London
Valdemar Peter Andersen,1875,1928,M,DK,Copenhagen,Copenhagen
Peter Marius Hansen,1868,1928,M,DK,Fåborg,Fåborg
Svend Hammershøi,1873,1948,M,DK,Copenhagen,Fredericksberg
Johannes Kragh,1870,1946,M,DK,Bisserup,Gentofte
Joakim Skovgaard,1856,1933,M,DK,Copenhagen,Copenhagen
Siegfried Berndt,1880,1946,M,DE,Görlitz,Dresden
Georg Albert Von Boddien,1850,1926,M,DE,Hanover,Dresden
Anna Syberg,1870,1914,F,DK,Fåborg,Copenhagen
Johannes Martin Fasting Wilhjelm,1868,1938,M,DK,Nakskov,Copenhagen
Godfred Christensen,1845,1928,M,DK,Copenhagen,Copenhagen
Johannes Larsen,1867,1961,M,DK,Kerteminde,Kerteminde
Sigurd Wandel,1875,1947,M,DK,Copenhagen,Copenhagen
Niels Larsen Stevns,1864,1941,M,DK,Gevnø,Copenhagen
Felix Eisengraber,1874,1940,M,DE,Leipzig,Munich
Ewald Max Karl Enderlein,1872,1914,M,DE,Leipzig,Dresden
Walter Friederici,1874,1943,M,DE,Chemnitz,Dresden
Julius Otto Fritzsche,1872,1948,M,DE,Dresden,Dresden
Gustav Haenel,1877,1908,M,DE,Dresden,Pasing
Georg Hänel,1879,1945,M,DE,Dresden,Dresden
Kuno Ferdinand Hardenberg,1871,1938,M,DE,Nörten-Hardenberg,Darmstadt
Franz Hein,1863,1927,M,DE,Altona,Leipzig
Theophil Heinke,1876,1913,M,DE,Oberneukirch,Pillnitz
Karl Hentschel,1884,1959,M,DE,Dessau,Tittmoning
Karl Christian Anton Hille,1866,1921,M,DE,Dresden,Dresden
Friedrich Hörnlein,1873,1945,M,DE,Suhl,Dresden
Ernst Kiesling,1851,1929,M,DE,Berlin,Leipzig
Paul Kiessling,1836,1919,M,DE,Breslau,Dresden
Edmund Körner,1873,1940,M,DE,Dresden,Essen
William Krause,1875,1925,M,DE,Dresden,Dresden
Karl Ferdinand Lederer Weida,1863,1946,M,DE,Weida,Leipzig
August Leonhardi,1867,1931,M,DE,Loschwitz,Loschwitz
Otto Wilhelm Merseburg,1874,1947,M,DE,Ehringsdorf,Oberlausitz
Johannes Mogk,1868,1921,M,DE,Dresden,Dresden
Ludwig Otto,1850,1920,M,DE,Borna,Dresden
Anton Josef Pepino,1863,1921,M,AT,Vienna,Heidenau
Max Pietschmann,1865,1952,M,DE,Dresden,Niederpoyritz
Paul Poetzsch,1858,1936,M,DE,Dresden,Dresden
Hermann Prell,1854,1922,M,DE,Leipzig,Loschwitz
Wilhelm Georg Ritter,1850,1926,M,DE,Marburg,Moritzburg
Moritz Rödig,1844,1918,M,DE,Dresden,Dresden
Osmar Schindler,1867,1927,M,DE,Burkhardtsdorf,Wachwitz
Walter Tiemann,1876,1951,M,DE,Delitzsch,Leipzig
Rudolf Treuter,1874,1950,M,DE,Meissen,Meissen
Eugen Urban,1868,1929,M,DE,Leipzig,Leipzig
Gustav Wustmann,1844,1910,M,DE,Dresden,Leipzig
Wolfgang Zeller,1879,1973,M,DE,Wurzen,Willingshausen
Alexander Ananias Baranowsky,1874,1941,M,DE,Riga,Dresden
Fritz Bleyl,1880,1966,M,DE,Zwickau,Iburg
Otto Richard Bossert,1874,1919,M,DE,Heidelberg,Leipzig
Georg Erler,1871,1950,M,DE,Dresden,Bad Reichenhall
Otto Gerlach,1862,1908,M,DE,Leipzig,Tehran
Carl Haeser,1871,1939,M,DE,Bannewitz,Munich
Max Heiland,1862,1915,M,DE,Leipzig,Leipzig
Friedrich Heyser,1857,1921,M,DE,Gnoien,Dresden
Anton Klamroth,1860,1929,M,DE,Moscow,Leipzig
Louise Langgaard,1883,1974,F,DE,London,Loheland
Adolf Noether,1855,1943,M,DE,Dresden,Dresden
Hedwig Rumpelt,1861,1937,F,DE,Breslau,Dresden
Gertrud Schäfer,1880,1945,F,DE,Beersel,Dresden
Karl Gottlob Schönherr,1824,1906,M,DE,Lengefeld,Dresden
F. Walter Scholtz,1861,1910,M,DE,Dresden,Meersburg
Bertha Schrader,1845,1920,F,DE,Klaipėda,Dresden
Bernhard Schröter,1848,1911,M,DE,Meissen,Meissen
Georg Schwenk,1863,1936,M,DE,Dresden,Dresden
Karl Hanns Taeger,1856,1937,M,DE,Neustadt in Sachsen,Langebrück
Franz Trautsch,1866,1920,M,DE,Dresden,Pirna
Johannes Paul Ufer,1874,1912,M,DE,Sachsenburg,Dresden
Otto Georg Voigt,1871,1940,M,DE,Dresden,Meissen
Walther Witting,1864,1940,M,DE,Dresden,Dresden
Oskar Menzel,1873,1958,M,DE,Dresden,Dresden
Friedrich Wilhelm Hertzsch,1875,1944,M,DE,Dresden,Dresden
George Heinsius von Mayenburg,1870,1930,M,DE,Colditz,Dresden
Martin Pietzsch,1866,1961,M,DE,Blasewitz,Dresden
Philip Zilcken,1857,1930,M,NL,"Hague, The",Amsterdam
Henry Stacquet,1838,1906,M,BE,Brussels,Schaerbeek
Paolo Sala,1859,1924,M,IT,Milan,Milan
Emile Hoeterickx,1853,1923,M,BE,Brussels,Ixelles
Silvio Giulio Rotta,1853,1913,M,IT,Venice,Venice
Francis Sydney Unwin,1885,1925,M,GB,Stalbridge,Norfolk
Helen Catherine Bedford,1874,1949,F,GB,London,London
Margaret Fisher Prout,1875,1963,F,GB,Chelsea,Saint Leonards
Glyn Warren Philpot,1884,1937,M,GB,London,London
Evelyn Cheston,1875,1929,F,GB,South Yorkshire,Musbury
Philip Connard,1875,1958,M,GB,Southport,Twickenham
William Crampton Gore,1877,1946,M,IE,Enniskillen,Essex
Annie Louisa Swynnerton,1844,1933,F,GB,Greater Manchester,Hayling Island
John Mansfield Crealock,1871,1959,M,GB,Manchester,London
Essil R. Elmslie,1880,1952,F,GB,Bedford,Surrey
Mark Lancelot Symons,1886,1935,M,GB,London,Wokingham
Léon Eugène Auguste Abry,1857,1905,M,BE,Antwerp,Antwerp
John Quincy Adams,1874,1933,M,AT,Vienna,Vienna
Ermenegildo Agazzi,1866,1945,M,IT,Mapello,Bergamo
Rinaldo Agazzi,1857,1939,M,IT,Mapello,Bergamo
Hans Agersnap,1857,1925,M,DK,Ansager,Brørup
Zygmunt Ajdukiewicz,1861,1917,M,PL,"Witkowice, Podkarpackie Voivodeship",Vienna
Jonas Akesson,1879,1970,M,SE,Malmö,Bjärred
Julia Alcayde Montoya,1855,1939,F,ES,Gijón,Madrid
Nicolás Alpériz,1865,1928,M,ES,Seville,Seville
Ventura Alvarez Sala,1869,1919,M,ES,Gijón,Gijón
Cilius Johannes Conrad Andersen,1865,1913,M,DK,Odense,Fredericksberg
Anders Andersen-Lundby,1840,1923,M,DK,Lundby,Munich
Angel Andrade Blázquez,1866,1932,M,ES,Ciudad Real,Ciudad Real
Teodoro Andreu Sentamans,1870,1935,M,ES,Alcira,Valencia
Heinrich von Angeli,1840,1925,M,AT,Sopron,Vienna
Gustaf Ankarkrona,1869,1933,M,SE,Huskvarna,Leksands församling
Emil Anner,1870,1925,M,CH,"Baden, Switzerland",Brugg
Antonio Antony de Witt,1876,1967,M,IT,Livorno,Florence
Louis Apol,1850,1936,M,NL,"Hague, The","Hague, The"
Carl Appel,1866,1934,M,DE,Hamburg,Hamburg
Henri Jules Ferdinand Bellery-Defonaines,1867,1909,M,FR,Paris,Saint-Martin-aux-Buneaux
Eugène Grasset,1845,1917,M,FR,Lausanne,Sceaux
Luc Olivier Merson,1846,1920,M,FR,Paris,Paris
Hermann Vogel,1856,1918,M,DE,Flensburg,Paris
Maurice Pillard Verneuil,1869,1942,M,FR,"Saint-Quentin, Aisne",Chexbres
Henri Rivière,1864,1951,M,FR,Paris,Paris
Verner Thomé,1878,1953,M,FI,Alajärvi,Helsinki
Christian Krohg,1852,1925,M,NO,Vestre Aker,Christiania (Oslo)
Hans Fredrik Gude,1825,1903,M,NO,Oslo,Berlin
Wilhelm Laurits Wetlesen,1871,1925,M,NO,Sandefjord,Oslo
Marie Tannaes,1854,1939,F,NO,Christiania (Oslo),Copenhagen
Cecilie Dahl,1858,1943,F,NO,Vestre Aker,Christiania (Oslo)
Hans Heyerdahl,1857,1913,M,NO,Smedjebacken,Christiania (Oslo)
Andreas Singdahlsen,1855,1947,M,NO,Moss,Asker
August Eiebakke,1867,1938,M,NO,Askim,Oslo
Kristoffer Andreas Lange Sinding-Larsen,1873,1948,M,NO,Christiania (Oslo),Christiania (Oslo)
Otto Hennig,1871,1920,M,NO,Christiania (Oslo),Christiania (Oslo)
Signe Scheel,1860,1942,F,NO,Hamar,Oslo
Harald Brun,1873,1927,M,NO,Christiania (Oslo),Christiania (Oslo)
Ingeborg Jensen,1884,1946,F,NO,Christiania (Oslo),Christiania (Oslo)
Odd O. Nyquist,1870,1943,M,NO,Christiania (Oslo),Christiania (Oslo)
Otto Valstad,1862,1950,M,NO,Asker,Oslo
Simon Thorbjørnsens,1879,1951,M,NO,Skien,Christiania (Oslo)
Frida Schioldborg,1885,1926,F,NO,Christiania (Oslo),Christiania (Oslo)
Sigmund Sinding,1875,1936,M,NO,Munich,Nesodden
Marie Hauge,1864,1931,F,NO,Drammen,Christiania (Oslo)
Jacob Gløersen,1852,1912,M,NO,Nissedal,Christiania (Oslo)
Vilhelm Carl Ferdinand Arnesen,1865,1948,M,DK,Denmark,Copenhagen
Ricardo Arredondo y Calmache,1850,1911,M,ES,Cella,Toledo
Fredrik Kolstø,1860,1945,M,NO,Haugesund,Trondheim
Constantin Artachino,1871,1954,M,RO,Giurgiu,Bucharest
Jean Francis Auburtin,1866,1930,M,FR,Paris,Varangéville
Otto Bache,1839,1927,M,DK,Roskilde,Copenhagen
Eva Bagge,1871,1964,F,SE,Stockholm,Stockholm
Carlo Balestrini,1868,1923,M,IT,Milan,Milan
Wilhelm Balmer,1865,1922,M,CH,Basel,Bern
Emile Barau,1851,1930,M,FR,Rheims,Neuilly-sur-Seine
Mariano Barbasán Lagueruela,1864,1924,M,ES,Zaragoza,Zaragoza
Marcel André Baschet,1862,1941,M,FR,Gagny,Paris
Augusto Bastianini,1875,1940,M,IT,Monteguidi,Florence
Jeanna Maria Charlotta Bauck,1840,1926,F,SE,Stockholm,Munich
Fritz Bayerlein,1872,1955,M,DE,Bamberg,Bamberg
Leonardo Bazzaro,1853,1937,M,IT,Milan,Milan
Gustav von Bechtolsheim,1842,1924,M,DE,Regensburg,Munich
Giorgio Belloni,1861,1944,M,IT,Codogno,Como
Manuel Benedito Vives,1875,1963,M,ES,Valencia,Madrid
Frank Weston Benson,1862,1951,M,US,Salem,Salem
Geo Bernier,1862,1918,M,BE,Namur,Antwerp
Aage Bertelsen,1873,1945,M,DK,Næstved,Copenhagen
Cesare Bertolotti,1854,1932,M,IT,Brescia,Brescia
Armand Berton,1854,1917,M,FR,Paris,Paris
Aureliano Beruete,1845,1912,M,ES,Madrid,Madrid
Hans Best,1874,1942,M,DE,Mannheim,Munich
Clarita Beyer,1864,1929,F,DE,Mazatlán,Kiel
Octavio Bianqui Sánchez,1872,1936,M,ES,Cartagena,Barcelona
Victor Jean Baptiste Barthélémy Binet,1849,1924,M,FR,Rouen,Saint-Aubin-sur-Quillebeuf
Jens Birkholm,1869,1915,M,DK,Fåborg,Fåborg
Eugen Birzer,1847,1905,M,DE,Waldsassen,Munich
Richard Bisschop,1849,1926,M,NL,Leeuwarden,"Bergen, North Holland"
Christian Vigilius Blache,1838,1920,M,DK,Aarhus,Copenhagen
Willem Christiaan Constant Bleckmann,1853,1942,M,NL,Jakarta,"Hague, The"
Gerhard Blom,1866,1930,M,DK,Helsingør,Birkerød
Edmund Blume,1844,1914,M,DE,Halberstadt,Altaussee
Ludwig Blume-Siebert,1853,1929,M,DE,Arolsen,Munich
Adolf Bock,1854,1917,M,DE,Wiek,Pasing
Cuno von Bodenhausen,1852,1931,M,DE,Witzenhausen,Polling bei Weilheim
Karl Boehme,1866,1939,M,DE,Hamburg,Munich
Konrad Böhringer,1863,1940,M,DE,Grimma,Dresden
Berend Adrianus Bongers,1866,1949,M,NL,"Hague, The",Delft
Émile Boulard,1863,1943,M,FR,Département du Val-d'Oise,Valmondois
Hans Ole Brasen,1849,1930,M,DK,Hillerød,Copenhagen
Ferdinand Max Bredt,1860,1921,M,DE,Leipzig,Ruhpolding
Heinrich Brüne,1869,1945,M,DE,Bonn,Oberpfaffenhofen
Ettore Burzi,1872,1937,M,IT,Budrio,Lugano
Hans Busse,1867,1914,M,DE,Berlin,Taormina
Antoine Calbet,1860,1944,M,FR,Engayrac,Paris
Alceste Campriani,1848,1933,M,IT,Terni,Lucca
Tullio Campriani,1875,1939,M,IT,Naples,Naples
Filippo Carcano,1840,1914,M,IT,Milan,Milan
Onorato Carlandi,1848,1939,M,IT,Rome,Rome
Giuseppe Carozzi,1864,1938,M,IT,Milan,Monte Carlo
Julius Viktor Carstens,1849,1908,M,DE,Lubeck,Munich
Lodovico Cavaleri,1867,1942,M,IT,Milan,Cento
Gustaf Cederström,1845,1933,M,SE,Stockholm,Stockholm
William Merritt Chase,1849,1916,M,US,Williamsburg,New York
Ernest-Jean Chevalier,1867,1920,M,FR,La Rochelle,Saint- Germain-en Laye
Jean Eugène Clary,1856,1929,M,FR,Paris,Les Andelys
Gad Frederick Clement,1867,1933,M,DK,Fredericksberg,Copenhagen
Raphaël Collin,1850,1916,M,FR,Paris,Brionne
Edward Harrison Compton,1881,1960,M,GB,Feldafing,Feldafing
Juan Comba García,1852,1924,M,ES,Jérez de la Frontera,Madrid
Adolf Le Comte,1850,1921,M,NL,Rijswijk,"Hague, The"
Henri Courselles-Dumont,1856,1918,M,FR,Paris,Paris
Angelo Courten,1848,1925,M,IT,Bologna,Munich
Carlo Cressini,1864,1938,M,IT,Genoa,Milan
Wladyslaw Czachórski,1850,1911,M,PL,Lublin,Munich
Charles-Henri-Gaston Dagnac-Riviere,1864,1945,M,FR,Paris,Moret-sur-Loing
Hans Mathias Holten Dall,1862,1920,M,DK,Denmark,Amalfi
Angelo dall' Oca Bianca,1858,1942,M,IT,Verona,Verona
Emile Charles Dameron,1848,1908,M,FR,Paris,Paris
Hugo Darnaut,1850,1937,M,AT,Dessau,Vienna
Édouard Bernard Debat-Ponsan,1847,1913,M,FR,Toulouse,Paris
Marie De Bievre,1865,1940,F,BE,Sint-Joost-ten-Node,Ixelles
Théodore Delachaux,1879,1949,M,CH,Interlaken,Corcelle
Friedrich Delcroix,1864,1918,M,DE,Munich,Munich
Lorenzo Delleani,1840,1908,M,IT,Pollone,Turin
Alois Delug,1859,1930,M,AT,Bolzano,Vienna
Henri de Smeth,1865,1940,M,BE,Antwerp,Brasschaat
Heinrich Deuchert,1840,1923,M,DE,Darmstadt,Allmannshausen
August Wilhelm Dieffenbacher,1858,1940,M,DE,Mannheim,Munich
Karl Johannes Andreas Adam Dørnberger,1864,1940,M,NO,Nøtterøy,Son
Henri Aimé Duhem,1860,1941,M,FR,Douai,Juan-les-Pins
Charles-Jules Duvent,1867,1940,M,FR,Langres,Paris
Adolf Eberle,1843,1914,M,DE,Munich,Munich
Aloys Eckardt,1845,1906,M,DE,Lichte,Munich
Otto Eerelman,1839,1926,M,NL,Groningen,Groningen
Andreas Egersdörfer,1866,1946,M,DE,Nuremberg,Frankfurt am Main
Paul Walter Ehrhardt,1872,1959,M,DE,Weimar,Munich
Ludwig Eibl,1842,1918,M,AT,Vienna,Munich
Wilhelm Eilers,1857,1919,M,DE,Hamburg,Munich
Jahn Ekenaes,1847,1920,M,NO,Hof,Follebu
Hermann Von Engelhardt,1853,1914,M,DE,Würken (Livland),Merano
Malthe Engelsted,1852,1930,M,DK,Nivågård,Fakse Ladeplads
Jehudo Epstein,1870,1945,M,PL,Minsk,Johannesburg
Alma Erdmann,1872,1930,F,DE,Herzberg am Harz,Hanover
Alois Erdtelt,1851,1911,M,DE,"Wierzbnik, Opole Voivodeship",Munich
Ernst von Sachsen-Meiningen,1859,1941,M,DE,Meiningen,Bad Liebenstein
Hermenegildo Estevan,1851,1945,M,ES,Maella,Rome
Hubert-Denis Etcheverry,1867,1952,M,FR,Bayonne,Bayonne
Max Fabian,1873,1926,M,DE,Berlin,Berlin
Edgard Farasyn,1858,1938,M,BE,Antwerp,Antwerp
Wilhelm Feldmann,1859,1932,M,DE,Lüneburg,Lübbecke
Paul Felgentreff,1854,1933,M,DE,Potsdam,Munich
Arthur Feudel,1857,1929,M,US,Chemnitz,Katwijk aan Zee
Georg Fischer Elpons,1866,1939,F,DE,Berlin,São Paulo
Thaleia Phlora-Karabia,1871,1960,F,GR,Siátista,Athens
Jules Fonteyne,1878,1964,M,BE,Bruges,Bruges
Albert Joseph Franke,1860,1924,M,DE,Breslau,Munich
Filippo Franzoni,1857,1911,M,CH,Locarno,Mendrisio
Helene von Frauendorfer-Mühlthaler,1853,1933,F,DE,Munich,Munich
Oskar Freiwirth-Lützow,1862,1925,M,DE,Moscow,Füssen
Fritz Freund,1859,1936,M,DE,Darmstadt,Miesbach
Carl Frydensberg,1872,1944,M,DK,Copenhagen,Svanninge
Alexander Fuks,1863,1927,M,RU,Nicolayev,Munich
Joan Fuster Bonnin,1870,1943,M,ES,Palma de Mallorca,Palma de Mallorca
Josef Futterer,1871,1930,M,DE,Mondfeld,Munich
Max Gaisser,1857,1922,M,DE,Augsburg,Munich
José Gallegos y Arnosa,1859,1917,M,ES,Jerez de la Frontera,Anzio
Alessandro Gallotti,1879,1961,M,IT,Pavia,Milan
Otto Gampert,1842,1924,M,CH,Ottenbach,Zurich
Manuel García Rodríguez,1863,1925,M,ES,Seville,Seville
José Garnelo y Alda,1866,1944,M,ES,Enguera,Montilla
Hans Garnjobst,1863,1955,M,CH,Basel,Paris
Fernand Gaulis,1860,1924,M,CH,Lausanne,Lausanne
Jacob Gehrig,1846,1922,M,DE,Flawil,Munich
Johann Nepomuk Geller,1860,1954,M,AT,Vienna,Weißenkirchen
Raimund Germela,1868,1945,M,AT,Vršac,Vienna
Max Eduard Giese,1867,1916,M,DE,Dusseldorf,Pasing
Eugène-Louis Gillot,1867,1925,M,FR,Paris,Paris
Charles Giron,1850,1914,M,CH,Geneva,Genthod
Simon Glücklich,1863,1943,M,DE,Bielsko-Biała,Munich
Ferdinand Götz,1874,1941,M,DE,Fürth,Paris
Heinrich Gogarten,1850,1911,M,DE,Linz am Rhein,Munich
Emilio Gola,1851,1923,M,IT,Milan,Milan
Auguste François-Marie Gorguet,1862,1927,M,FR,Paris,Paris
Oswald Gottfried,1869,1949,M,DE,Leipzig,Munich
Franz Gräßel,1861,1948,M,DE,Oberseebach,Fürstenfeldbruck
Theodor Grätz,1859,1947,M,DE,Hamburg,Munich
Paul Edmund Graf,1866,1903,M,SE,Stockholm,Enköping
Georges Griveau,1863,1943,M,FR,Paris,Paris
Marcus Grönvold,1845,1929,M,NO,Bergen,Munich
Giacomo Grosso,1860,1938,M,IT,Cambiano,Turin
Vittorio Guaccimanni,1859,1938,M,IT,Ravenna,Ravenna
Gaston Guignard,1848,1922,M,FR,Bordeaux,Paris
François Joseph Guiguet,1860,1937,M,FR,Corbelin,Corbelin
Jean Baptiste Antoine Guillemet,1843,1918,M,FR,Chantilly,Mareuil-sur-Belle
Octave-Denis-Victor Guillonet,1872,1967,M,FR,Paris,Montgeron
Hermanus Petrus Antonius Gunneweg,1846,1904,M,NL,Rotterdam,"Hague, The"
Ole Jonsrud,1875,1955,M,NO,Christiania (Oslo),Christiania (Oslo)
Torleiv Jørgensen Stadskleiv,1865,1946,M,NO,"Bø, Telemark","Bø, Telemark"
Ragnvald Hjerlow,1863,1947,M,NO,Christiania (Oslo),Oslo
Johannes Hubertus Leonardus de Haas,1832,1908,M,NL,Hedel,Königswinter
Richard von Hagn,1850,1933,M,DE,Husum,Dresden
Joseph Hahn,1839,1906,M,DE,Munich,Munich
Mary Hughitt Halliday,1866,1957,F,US,"Cairo, Illinois",Santa Barbara
Arne Lofthus,1881,1962,M,NO,Bergen,Copenhagen
Sigvard Marius Hansen,1859,1938,M,DK,Copenhagen,Hellerup
Ferdinand Hart Nibbrig,1866,1915,M,NL,Amsterdam,Laren (Noord-Holland)
Nelly Harvey,1877,1961,F,GB,London,Madrid
Otto Carl Bentzon Haslund,1842,1917,M,DK,Copenhagen,Koldby
Wilhelm Hasselbach,1846,1921,M,DE,Dorum,Munich
Antoine Auguste Ernest Hébert,1817,1908,M,FR,La Tronche,La Tronche
Karl Adam Heinisch,1847,1927,M,DE,Prudnik,Munich
Emil Hellrath,1838,1923,M,DE,Rees,Munich
Axel Helsted,1847,1907,M,DK,Copenhagen,Copenhagen
Lul Krag,1878,1956,F,NO,Kongsberg,Oslo
Gerke Henkes,1844,1927,M,NL,Delfshaven,Rotterdam
